PROJECT ID,Program ID,Wagon Number,Instruction,Instruction Sr No,Instruction Value,LOAD_NO,FlightBar,ACCUMULATED TIME
Program 1,1,1,Wait for sec,118,30,4,FB1,5014
Program 1,1,1,Get from,119,6,4,FB1,5014
Program 1,1,1,Put on,120,7,4,FB1,5032
Program 1,1,1,Wait for sec,121,30,4,FB1,5074
Program 1,1,1,Get from,122,7,4,FB1,5074
Program 1,1,1,Put on,123,9,4,FB1,5096
Program 1,1,1,Get from,124,10,3,FB3,5113
Program 1,1,1,Put on,125,11,3,FB3,5132
Program 1,1,1,Get from,126,11,0,FB3,5144
Program 1,1,1,Put on,127,1,0,FB3,5196
Program 1,1,1,Get from,128,2,5,FB2,5213
Program 1,1,1,Put on,129,5,5,FB2,5238
Program 1,1,1,Wait for sec,130,186,6,FB3,5448
Program 1,1,1,Get from,131,1,6,FB3,5448
Program 1,1,1,Put on,132,2,6,FB3,5466
Program 1,1,1,Wait for sec,133,63,5,FB2,5550
Program 1,1,1,Get from,134,5,5,FB2,5550
Program 1,1,1,Put on,135,6,5,FB2,5568
Program 1,1,1,Wait for sec,136,30,5,FB2,5610
Program 1,1,1,Get from,137,6,5,FB2,5610
Program 1,1,1,Put on,138,7,5,FB2,5628
Program 1,1,1,Wait for sec,139,30,5,FB2,5670
Program 1,1,1,Get from,140,7,5,FB2,5670
Program 1,1,1,Put on,141,10,5,FB2,5696
Program 1,1,1,Wait for sec,142,144,4,FB1,5858
Program 1,1,1,Get from,143,9,4,FB1,5858
Program 1,1,1,Put on,144,11,4,FB1,5881
Program 1,1,1,Get from,145,11,0,FB1,5893
Program 1,1,1,Put on,146,1,0,FB1,5945
Program 1,1,1,Get from,147,2,6,FB3,5962
Program 1,1,1,Put on,148,5,6,FB3,5987
Program 1,1,1,Wait for sec,149,186,7,FB1,6197
Program 1,1,1,Get from,150,1,7,FB1,6197
Program 1,1,1,Put on,151,2,7,FB1,6215
Program 1,1,1,Wait for sec,152,63,6,FB3,6299
Program 1,1,1,Get from,153,5,6,FB3,6299
Program 1,1,1,Put on,154,6,6,FB3,6317
Program 1,1,1,Wait for sec,155,30,6,FB3,6359
Program 1,1,1,Get from,156,6,6,FB3,6359
Program 1,1,1,Put on,157,7,6,FB3,6377
Program 1,1,1,Wait for sec,158,30,6,FB3,6419
Program 1,1,1,Get from,159,7,6,FB3,6419
Program 1,1,1,Put on,160,9,6,FB3,6441
Program 1,1,1,Get from,161,10,5,FB2,6458
Program 1,1,1,Put on,162,11,5,FB2,6477
Program 1,1,1,Wait for sec,163,15,7,FB1,6527
Program 1,1,1,Get from,164,2,7,FB1,6527
Program 1,1,1,Put on,165,5,7,FB1,6552
Program 1,1,1,Wait for sec,166,300,7,FB1,6864
Program 1,1,1,Get from,167,5,7,FB1,6864
Program 1,1,1,Put on,168,6,7,FB1,6882
Program 1,1,1,Wait for sec,169,30,7,FB1,6924
Program 1,1,1,Get from,170,6,7,FB1,6924
Program 1,1,1,Put on,171,7,7,FB1,6942
Program 1,1,1,Wait for sec,172,30,7,FB1,6984
Program 1,1,1,Get from,173,7,7,FB1,6984
Program 1,1,1,Put on,174,10,7,FB1,7010
Program 1,1,1,Wait for sec,175,175,6,FB3,7203
Program 1,1,1,Get from,176,9,6,FB3,7203
Program 1,1,1,Put on,177,11,6,FB3,7226
Program 1,1,1,Wait for sec,178,529,7,FB1,7772
Program 1,1,1,Get from,179,10,7,FB1,7772
Program 1,1,1,Put on,180,11,7,FB1,7791
Program 1,1,1,Get from,181,11,0,FB2,7803
Program 1,1,1,Put on,182,1,0,FB2,7855
Program 1,1,1,Wait for sec,183,240,8,FB2,8107
Program 1,1,1,Get from,184,1,8,FB2,8107
Program 1,1,1,Put on,185,2,8,FB2,8125
Program 1,1,1,Wait for sec,186,300,8,FB2,8437
Program 1,1,1,Get from,187,2,8,FB2,8437
Program 1,1,1,Put on,188,5,8,FB2,8462
Program 1,1,1,Wait for sec,189,300,8,FB2,8774
Program 1,1,1,Get from,190,5,8,FB2,8774
Program 1,1,1,Put on,191,6,8,FB2,8792
Program 1,1,1,Wait for sec,192,30,8,FB2,8834
Program 1,1,1,Get from,193,6,8,FB2,8834
Program 1,1,1,Put on,194,7,8,FB2,8852
Program 1,1,1,Wait for sec,195,30,8,FB2,8894
Program 1,1,1,Get from,196,7,8,FB2,8894
Program 1,1,1,Put on,197,9,8,FB2,8916
Program 1,1,1,Wait for sec,198,750,8,FB2,9678
Program 1,1,1,Get from,199,9,8,FB2,9678
Program 1,1,1,Put on,200,11,8,FB2,9701
Program 1,1,1,Get from,201,11,0,FB3,9713
Program 1,1,1,Put on,202,1,0,FB3,9765
Program 1,1,1,Wait for sec,203,240,9,FB3,10017
Program 1,1,1,Get from,204,1,9,FB3,10017
Program 1,1,1,Put on,205,2,9,FB3,10035
Program 1,1,1,Wait for sec,206,300,9,FB3,10347
Program 1,1,1,Get from,207,2,9,FB3,10347
Program 1,1,1,Put on,208,5,9,FB3,10372
Program 1,1,1,Wait for sec,209,300,9,FB3,10684
Program 1,1,1,Get from,210,5,9,FB3,10684
Program 1,1,1,Put on,211,6,9,FB3,10702
Program 1,1,1,Wait for sec,212,30,9,FB3,10744
Program 1,1,1,Get from,213,6,9,FB3,10744
Program 1,1,1,Put on,214,7,9,FB3,10762
Program 1,1,1,Wait for sec,215,30,9,FB3,10804
Program 1,1,1,Get from,216,7,9,FB3,10804
Program 1,1,1,Put on,217,10,9,FB3,10830
Program 1,1,1,Wait for sec,218,750,9,FB3,11592
Program 1,1,1,Get from,219,10,9,FB3,11592
Program 1,1,1,Put on,220,11,9,FB3,11611
Program 1,1,1,Get from,221,11,0,FB1,11623
Program 1,1,1,Put on,222,1,0,FB1,11675
Program 1,1,1,Wait for sec,223,240,10,FB1,11927
Program 1,1,1,Get from,224,1,10,FB1,11927
Program 1,1,1,Put on,225,2,10,FB1,11945
Program 1,1,1,Wait for sec,226,300,10,FB1,12257
Program 1,1,1,Get from,227,2,10,FB1,12257
Program 1,1,1,Put on,228,5,10,FB1,12282
Program 1,1,1,Wait for sec,229,300,10,FB1,12594
Program 1,1,1,Get from,230,5,10,FB1,12594
Program 1,1,1,Put on,231,6,10,FB1,12612
Program 1,1,1,Wait for sec,232,30,10,FB1,12654
Program 1,1,1,Get from,233,6,10,FB1,12654
Program 1,1,1,Put on,234,7,10,FB1,12672
Program 1,1,1,Wait for sec,235,30,10,FB1,12714
Program 1,1,1,Get from,236,7,10,FB1,12714
Program 1,1,1,Put on,237,9,10,FB1,12736
Program 1,1,1,Wait for sec,238,750,10,FB1,13498
Program 1,1,1,Get from,239,9,10,FB1,13498
Program 1,1,1,Put on,240,11,10,FB1,13521
Program 1,1,1,Get from,241,11,0,FB2,13533
Program 1,1,1,Put on,242,1,0,FB2,13585
Program 1,1,1,Wait for sec,243,240,101,FB2,13837
Program 1,1,1,Get from,244,1,101,FB2,13837
Program 1,1,1,Put on,245,2,101,FB2,13855
Program 1,1,1,Wait for sec,246,300,101,FB2,14167
Program 1,1,1,Get from,247,2,101,FB2,14167
Program 1,1,1,Put on,248,5,101,FB2,14192
Program 1,1,1,Wait for sec,249,300,101,FB2,14504
Program 1,1,1,Get from,250,5,101,FB2,14504
Program 1,1,1,Put on,251,6,101,FB2,14522
Program 1,1,1,Wait for sec,252,30,101,FB2,14564
Program 1,1,1,Get from,253,6,101,FB2,14564
Program 1,1,1,Put on,254,7,101,FB2,14582
Program 1,1,1,Wait for sec,255,30,101,FB2,14624
Program 1,1,1,Get from,256,7,101,FB2,14624
Program 1,1,1,Put on,257,10,101,FB2,14650
Program 1,1,1,Wait for sec,258,750,101,FB2,15412
Program 1,1,1,Get from,259,10,101,FB2,15412
Program 1,1,1,Put on,260,11,101,FB2,15431
Program 1,1,1,Get from,261,11,0,FB3,15443
Program 1,1,1,Put on,262,1,0,FB3,15495
Program 1,1,1,Wait for sec,263,240,102,FB3,15747
Program 1,1,1,Get from,264,1,102,FB3,15747
Program 1,1,1,Put on,265,2,102,FB3,15765
Program 1,1,1,Wait for sec,266,300,102,FB3,16077
Program 1,1,1,Get from,267,2,102,FB3,16077
Program 1,1,1,Put on,268,5,102,FB3,16102
Program 1,1,1,Wait for sec,269,300,102,FB3,16414
Program 1,1,1,Get from,270,5,102,FB3,16414
Program 1,1,1,Put on,271,6,102,FB3,16432
Program 1,1,1,Wait for sec,272,30,102,FB3,16474
Program 1,1,1,Get from,273,6,102,FB3,16474
Program 1,1,1,Put on,274,7,102,FB3,16492
Program 1,1,1,Wait for sec,275,30,102,FB3,16534
Program 1,1,1,Get from,276,7,102,FB3,16534
Program 1,1,1,Put on,277,9,102,FB3,16556
Program 1,1,1,Wait for sec,278,750,102,FB3,17318
Program 1,1,1,Get from,279,9,102,FB3,17318
Program 1,1,1,Put on,280,11,102,FB3,17341
Program 1,1,1,Get from,281,11,0,FB1,17353
Program 1,1,1,Put on,282,1,0,FB1,17405
Program 1,1,1,Wait for sec,283,240,103,FB1,17657
Program 1,1,1,Get from,284,1,103,FB1,17657
Program 1,1,1,Put on,285,2,103,FB1,17675
Program 1,1,1,Wait for sec,286,300,103,FB1,17987
Program 1,1,1,Get from,287,2,103,FB1,17987
Program 1,1,1,Put on,288,5,103,FB1,18012
Program 1,1,1,Wait for sec,289,300,103,FB1,18324
Program 1,1,1,Get from,290,5,103,FB1,18324
Program 1,1,1,Put on,291,6,103,FB1,18342
Program 1,1,1,Wait for sec,292,30,103,FB1,18384
Program 1,1,1,Get from,293,6,103,FB1,18384
Program 1,1,1,Put on,294,7,103,FB1,18402
Program 1,1,1,Wait for sec,295,30,103,FB1,18444
Program 1,1,1,Get from,296,7,103,FB1,18444
Program 1,1,1,Put on,297,10,103,FB1,18470
Program 1,1,1,Wait for sec,298,750,103,FB1,19232
Program 1,1,1,Get from,299,10,103,FB1,19232
Program 1,1,1,Put on,300,11,103,FB1,19251
Program 1,1,1,Get from,301,11,0,FB2,19263
Program 1,1,1,Put on,302,1,0,FB2,19315
Program 1,1,1,Get from,303,11,0,FB3,19353
Program 1,1,1,Put on,304,1,0,FB3,19405
Program 1,1,1,Get from,305,11,0,FB1,19442
Program 1,1,1,Put on,306,1,0,FB1,19494
